p,failure_rate,best_p,best_p_error,best_number_of_series,best_p_step,best_q_step,best_span,latest_p,latest_p_error,latest_number_of_series,latest_p_step,latest_q_step,latest_span,process
0.81,0.1,0.6151515,0.1151514999999999,2000000.0,1.0,1.0,2.0,0.6151515,0.1151514999999999,2000000.0,1.0,1.0,2.0, [0.229086 1表 1裏 1目 1～1局] [0.115151 1表 1裏 2目 2～3局]
0.82,0.1,0.6236835,0.1236834999999999,2000000.0,1.0,1.0,2.0,0.6236835,0.1236834999999999,2000000.0,1.0,1.0,2.0, [0.238417 1表 1裏 1目 1～1局] [0.123683 1表 1裏 2目 2～3局]
0.83,0.1,0.6324235,0.1324235,2000000.0,1.0,1.0,2.0,0.6324235,0.1324235,2000000.0,1.0,1.0,2.0, [0.246887 1表 1裏 1目 1～1局] [0.132424 1表 1裏 2目 2～3局]
0.84,0.1,0.6410495,0.1410495,2000000.0,1.0,1.0,2.0,0.6410495,0.1410495,2000000.0,1.0,1.0,2.0, [0.256070 1表 1裏 1目 1～1局] [0.141050 1表 1裏 2目 2～3局]
0.85,0.1,0.65049,0.15049,2000000.0,1.0,1.0,2.0,0.65049,0.15049,2000000.0,1.0,1.0,2.0, [0.264694 1表 1裏 1目 1～1局] [0.150490 1表 1裏 2目 2～3局]
0.86,0.1,0.6598705,0.1598705,2000000.0,1.0,1.0,2.0,0.6598705,0.1598705,2000000.0,1.0,1.0,2.0, [0.274250 1表 1裏 1目 1～1局] [0.159871 1表 1裏 2目 2～3局]
0.87,0.1,0.6696885,0.1696885,2000000.0,1.0,1.0,2.0,0.6696885,0.1696885,2000000.0,1.0,1.0,2.0, [0.282981 1表 1裏 1目 1～1局] [0.169689 1表 1裏 2目 2～3局]
0.88,0.1,0.6797065,0.1797065,2000000.0,1.0,1.0,2.0,0.6797065,0.1797065,2000000.0,1.0,1.0,2.0, [0.292080 1表 1裏 1目 1～1局] [0.179706 1表 1裏 2目 2～3局]
0.89,0.1,0.6899685,0.1899684999999999,2000000.0,1.0,1.0,2.0,0.6899685,0.1899684999999999,2000000.0,1.0,1.0,2.0, [0.301022 1表 1裏 1目 1～1局] [0.189968 1表 1裏 2目 2～3局]
0.9,0.1,0.7006225,0.2006225,2000000.0,1.0,1.0,2.0,0.7006225,0.2006225,2000000.0,1.0,1.0,2.0, [0.310041 1表 1裏 1目 1～1局] [0.200623 1表 1裏 2目 2～3局]
0.91,0.1,0.7120215,0.2120214999999999,2000000.0,1.0,1.0,2.0,0.7120215,0.2120214999999999,2000000.0,1.0,1.0,2.0, [0.319914 1表 1裏 1目 1～1局] [0.212021 1表 1裏 2目 2～3局]
0.92,0.1,0.722937,0.222937,2000000.0,1.0,1.0,2.0,0.722937,0.222937,2000000.0,1.0,1.0,2.0, [0.328222 1表 1裏 1目 1～1局] [0.222937 1表 1裏 2目 2～3局]
0.93,0.1,0.735315,0.235315,2000000.0,1.0,1.0,2.0,0.735315,0.235315,2000000.0,1.0,1.0,2.0, [0.336797 1表 1裏 1目 1～1局] [0.235315 1表 1裏 2目 2～3局]
0.94,0.1,0.7471065,0.2471065,2000000.0,1.0,1.0,2.0,0.7471065,0.2471065,2000000.0,1.0,1.0,2.0, [0.345710 1表 1裏 1目 1～1局] [0.247107 1表 1裏 2目 2～3局]
0.95,0.1,0.7601075,0.2601075,2000000.0,1.0,1.0,2.0,0.7601075,0.2601075,2000000.0,1.0,1.0,2.0, [0.355139 1表 1裏 1目 1～1局] [0.260108 1表 1裏 2目 2～3局]
0.96,0.1,0.7724715,0.2724715,2000000.0,1.0,1.0,2.0,0.7724715,0.2724715,2000000.0,1.0,1.0,2.0, [0.364071 1表 1裏 1目 1～1局] [0.272471 1表 1裏 2目 2～3局]
0.97,0.1,0.785907,0.285907,2000000.0,1.0,1.0,2.0,0.785907,0.285907,2000000.0,1.0,1.0,2.0, [0.373320 1表 1裏 1目 1～1局] [0.285907 1表 1裏 2目 2～3局]
0.98,0.1,0.799054,0.299054,2000000.0,1.0,1.0,2.0,0.799054,0.299054,2000000.0,1.0,1.0,2.0, [0.381801 1表 1裏 1目 1～1局] [0.299054 1表 1裏 2目 2～3局]
0.99,0.1,0.8137235,0.3137235,2000000.0,1.0,1.0,2.0,0.8137235,0.3137235,2000000.0,1.0,1.0,2.0, [0.391184 1表 1裏 1目 1～1局] [0.313724 1表 1裏 2目 2～3局]
