turn_system_name,failure_rate,p,span,t_step,h_step,a_victory_rate_by_trio,b_victory_rate_by_trio,no_victory_rate,a_victory_rate_by_duet,b_victory_rate_by_duet,unfair_point
alternating,0.05,0.83,15,15,3,0.5053295011261478,0.4851808329947118,0.0094896658791344,0.510170852053408,0.489829147946586,0.0002068924629847
alternating,0.05,0.84,4,4,1,0.5468841037539905,0.4426950417863624,0.0104208544596437,0.5526431172469448,0.4473568827530518,0.0055425955869515
alternating,0.05,0.85,8,6,2,0.575151986129585,0.4136588472518167,0.0111891666185934,0.5816602799169939,0.4183397200830011,0.0133368026322444
alternating,0.05,0.86,5,4,1,0.5483019597906208,0.4391045815039921,0.0125934587053784,0.555295045009246,0.4447049549907452,0.00611508400515
alternating,0.05,0.87,10,10,2,0.5433652923120253,0.4428258604304062,0.013808847257561,0.5509736026337428,0.4490263973662496,0.0051966163309261
alternating,0.05,0.88,5,5,1,0.5545976228584534,0.4302764452261115,0.0151259319154302,0.563115266033008,0.436884733966987,0.0079670736128353
alternating,0.05,0.89,5,5,1,0.5666486151567668,0.4167996723023071,0.0165517125409178,0.5761854714504682,0.4238145285495234,0.0116084521202614
alternating,0.05,0.9,13,13,3,0.5795913932797612,0.4023148133970381,0.0180937933231881,0.5902716464552605,0.4097283535447265,0.0162979403074894
alternating,0.05,0.91,10,10,2,0.5935044044004564,0.3867353786702248,0.0197602169293096,0.6054685951852002,0.3945314048147903,0.0222472491406812
alternating,0.05,0.92,9,9,2,0.608471743220001,0.3699687722670792,0.0215594845129117,0.6218791368395972,0.3781208631603945,0.0297090479935325
alternating,0.05,0.93,5,5,1,0.6245834921193845,0.3519159314802882,0.0235005764003183,0.6396148088003726,0.3603851911996181,0.0389845896727317
alternating,0.05,0.94,10,8,2,0.6450194796563409,0.3293874335971003,0.025593086746555,0.6619611077087773,0.3380388922912188,0.0524628008205095
alternating,0.05,0.95,5,5,1,0.6606326436488162,0.3115206771157182,0.0278466792354619,0.6795560222221633,0.3204439777778329,0.0644807302324933
alternating,0.1,0.5,1,1,1,0.495,0.495,0.01,0.5,0.5,0.0
alternating,0.1,0.51,3,1,1,0.4832333956693745,0.4792465246496453,0.0375200796809798,0.5020711450366712,0.4979288549633284,8.579283525857022e-06
alternating,0.1,0.52,3,1,1,0.485221090283827,0.4772409518204924,0.03753795789568,0.5041456899671005,0.4958543100328988,3.437349060664086e-05
alternating,0.1,0.53,3,1,1,0.4872092365614069,0.4752229612792117,0.0375678021593799,0.5062270751690805,0.493772924830918,7.755293032277649e-05
alternating,0.1,0.54,3,1,1,0.4892011120759088,0.4731892045932091,0.0376096833308799,0.5083188220025506,0.4916811779974471,0.0001384055990202
alternating,0.1,0.55,14,6,5,0.498700766908124,0.4786368762543738,0.0226623568374995,0.5102645645515219,0.4897354354484753,0.0002107225708647
alternating,0.1,0.56,6,3,2,0.4828754671248378,0.4966064542319609,0.0205180786432,0.4929906888490071,0.5070093111509916,9.826088562284823e-05
alternating,0.1,0.57,7,3,2,0.5026029673794178,0.4935765206290189,0.0038205119915496,0.5045305323282809,0.4954694676717053,4.105144635532156e-05
alternating,0.1,0.58,8,7,3,0.4860379157925024,0.5069049752844575,0.00705710892304,0.4894923163862312,0.5105076836137687,0.0002208228298541
alternating,0.1,0.59,8,4,3,0.4927354458447591,0.4859109108387909,0.02135364331645,0.5034867217148262,0.4965132782851738,2.431445663328145e-05
alternating,0.1,0.6,11,4,3,0.485416541092608,0.4938300088945921,0.0207534500128,0.4957041115937075,0.5042958884062927,3.690931439863849e-05
alternating,0.1,0.61,4,2,1,0.4937084446022285,0.4999964647444766,0.0062950906532836,0.4968360727198211,0.5031639272801675,2.002087166844768e-05
alternating,0.1,0.62,4,2,1,0.4959175941545731,0.4972858003153822,0.0067966055300346,0.4993112155232064,0.5006887844767834,9.488481109296792e-07
alternating,0.1,0.63,5,3,2,0.4951817293259349,0.4951261645331751,0.00969210614089,0.5000280543016492,0.4999719456983508,1.5740876820491943e-09
